k%,epsilon,median_num_evaluations,median_num_sga_evaluations,median_num_ls_evaluations
0.0,0.0,4997.0,4997.0,0.0
0.0,0.001,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0
0.1,0.0,1917.0,1000.0,917.0
0.1,0.001,1523.5,1000.0,523.5
0.1,0.01,1606.0,1000.0,606.0
0.1,0.1,3199.0,1000.0,2199.0
0.1,0.5,8543.0,2500.0,6043.0
0.2,0.0,1843.5,1000.0,843.5
0.2,0.001,1468.5,1000.0,468.5
0.2,0.01,1289.0,1000.0,289.0
0.2,0.1,2048.5,1000.0,1048.5
0.2,0.5,21123.5,3500.0,17623.5
0.3,0.0,2018.5,1000.0,1018.5
0.3,0.001,1441.0,1000.0,441.0
0.3,0.01,2043.5,1000.0,1043.5
0.3,0.1,2199.0,1000.0,1199.0
0.3,0.5,15676.0,2000.0,13676.0
0.4,0.0,1911.0,1000.0,911.0
0.4,0.001,1554.0,1000.0,554.0
0.4,0.01,1179.0,1000.0,179.0
0.4,0.1,1686.0,1000.0,686.0
0.4,0.5,25278.0,2500.0,22778.0
0.5,0.0,1748.5,1000.0,748.5
0.5,0.001,1836.0,1000.0,836.0
0.5,0.01,1441.0,1000.0,441.0
0.5,0.1,2510.0,1000.0,1510.0
0.5,0.5,23415.0,2000.0,21415.0
